Id,preco
0,1022390.9459980798
1,1692213.8993925531
2,669571.7211675898
3,1216014.0932378708
4,834819.6432283326
5,889309.7438439375
6,586840.7881518812
7,1086839.6539004135
8,1425570.3256572867
9,1004264.9522892787
10,931868.8594302412
11,1425570.3256572867
12,843791.2000925175
13,828574.9225965053
14,657663.4758526883
15,585877.8653694217
16,1400313.0099256434
17,995898.49297514
18,786351.9333944764
19,1619648.6578888572
20,823472.5853105435
21,1578707.3482416146
22,868993.9352397142
23,841117.9176677583
24,822395.311142649
25,696407.6781647226
26,853302.5277439395
27,1104656.4899008034
28,523418.959162411
29,841913.0618193442
30,841389.9326442928
31,1943283.6685909193
32,765996.4061841827
33,841482.8637486699
34,779035.7773501156
35,864978.9642331767
36,829858.8671181505
37,884055.5006514245
38,931019.4716118808
39,604113.7396500299
40,1313302.6047712127
41,1839787.64416378
42,781962.584025516
43,714893.6949676974
44,923206.0550038313
45,1028954.4848933497
46,1116793.8594813107
47,925397.3378916048
48,931017.1288483533
49,822395.311142649
50,901846.1777573792
51,1147627.2896474237
52,1000238.7042983713
53,825863.1685051322
54,815842.4949855423
55,1003546.7609007661
56,1001410.4788766433
57,904074.2362391746
58,850866.435287297
59,556385.9473494547
60,1187077.6057014305
61,658066.0081047784
62,1006691.2374252243
63,1036299.680159554
64,948466.4873137659
65,1488811.5663225953
66,764277.7356842512
67,1198160.073109462
68,1877454.8307329316
69,1113473.7078182395
70,4727512.999755695
71,828119.0371833913
72,943102.2439662702
73,1085391.3976778935
74,862746.5421675557
75,1023748.2413051729
76,780844.0760158218
77,1619648.6578888572
78,995817.4798000656
79,869899.54849008
80,923645.3072121935
81,817011.1173407328
82,845957.2730156386
83,880473.3492712249
84,845167.0088475915
85,925615.721644145
86,879747.8986595871
87,830867.3762608236
88,1230622.9848985856
89,876690.0284809034
90,1368486.2815880438
91,529093.3175604846
92,785692.5892686509
93,1693519.4690470342
94,891058.6697840904
95,750591.0201190852
96,861858.894548709
97,679607.2809965126
98,724463.709520625
99,923645.3072121935
100,928439.7426966093
101,1254597.2075643463
102,355111.4001432647
103,879646.0149737757
104,1473625.7057854189
105,857458.9153899429
106,1202931.2990596115
107,821673.0977234121
108,668943.4718039079
109,994800.0768306515
110,1137095.386354075
111,400647.4116039239
112,643435.077618502
113,594268.7366271997
114,1772436.2309645414
115,571463.5195151921
116,837332.2644378302
117,1231273.8378431674
118,832373.6092343512
119,1408801.877694006
120,1472586.5969951127
121,952972.3085614049
122,779035.7773501156
123,1534764.4305654457
124,1511683.4353281308
125,927790.7128725131
126,957763.4873378163
127,885705.5131777672
128,5777720.4921104945
129,888867.591145122
130,993331.945431882
131,2511243.258571666
132,839442.4873865263
133,1125764.0154172583
134,2267979.2951565003
135,449740.585024916
136,927140.0062286847
137,921989.748435763
138,881676.460038817
139,737510.9994811211
140,711070.4897397408
141,929732.3788961414
142,659066.3078328636
143,755974.5020528517
144,924741.3234695559
145,672287.3660919978
146,348657.50373255677
147,1019467.4744343222
148,882155.5286859245
149,881436.4522248385
150,1126399.7345025248
151,1004021.9714414763
152,924741.3234695559
153,351245.28107121144
154,746475.0172145509
155,889025.0228849492
156,882871.7096225927
157,443222.854424311
158,1114309.1836911507
159,374997.8327015021
160,800083.5806636683
161,1447492.497529238
162,1111099.5410290952
163,821673.0977234121
164,1733420.856936112
165,307452.0087320616
166,244891.37119763158
167,815425.35124149
168,770777.8786347995
169,874051.6567962496
170,842791.8964738912
171,1170769.8799004292
172,846583.2973444203
173,759093.6282812865
174,887795.6487168286
175,707789.590789899
176,537296.7042110097
177,828119.0371833913
178,969247.0943573923
179,572203.9203278386
180,925397.3378916048
181,767459.3338799548
182,1648734.3173165936
183,997547.8800677515
184,1198802.4066551724
185,1346538.3936507106
186,856490.9338517302
187,828518.2090009665
188,1440773.6055787525
189,708225.2316225402
190,889584.1300262731
191,1212425.8463166896
192,821673.0977234121
193,701160.2465114009
194,1193717.4489564507
195,1124071.6448957452
196,811165.8218977262
197,312133.42487696966
198,926739.7832032304
199,814171.3935941933
200,1126317.1409961584
201,2061296.7947659409
202,1473625.7057854189
203,1195503.6241482506
204,213457.98614673677
205,823576.3720147567
206,1218684.080691786
207,966060.9545218977
208,823478.6782147277
209,2009056.5537437252
210,752062.0675779138
211,828196.9168866901
212,1120684.8484387957
213,843114.5701480692
214,828941.5411618958
215,586039.626244079
216,667266.9665604489
217,1069594.938114291
218,1605816.9227837664
219,816529.8985543889
220,1690798.72725956
221,896435.967284629
222,1004496.0237852898
223,926269.9587942588
224,927549.396245715
225,1031749.6718569635
226,855099.4985531997
227,883347.506438477
228,709760.8340279635
229,1036548.1681905644
230,2837638.571528202
231,187029.16213541408
232,1441450.2114045434
233,1020239.746281245
234,1358755.6411167895
235,1000398.8025421406
236,1257041.0868709784
237,830555.465791532
238,888742.2449716055
239,1068812.7250415138
240,724950.1501440285
241,835648.4337177961
242,936885.2607151219
243,843781.7830385123
244,579544.6528945647
245,638460.6449333231
246,1201720.1789315643
247,946521.062412177
248,841672.0932929744
249,925833.9554712949
250,808092.7560450133
251,1005096.3644719392
252,1205215.3043236618
253,931868.8594302412
254,821310.7927379755
255,704322.273543424
256,844485.4701075396
257,925178.8078524657
258,923206.0550038313
259,1574357.5121594218
260,1542633.0895166527
261,824186.6949959337
262,615816.4335640778
263,1441450.2114045434
264,998094.7641319087
265,860169.991023118
266,709046.6893144855
267,947220.6546823236
268,827601.6520479576
269,1368486.2815880438
270,1091542.6785859857
271,734080.9721159035
272,822035.5771149532
273,845002.891535734
274,756429.245496185
275,879505.5062632754
276,1173460.0595566945
277,947840.871715891
278,723694.8728873355
279,926052.0357342632
280,1302277.9289242716
281,638616.3764831563
282,621006.4970945962
283,1031473.0656569053
284,450971.36273085256
285,887873.8750075345
286,744124.6794038874
287,821310.7927379755
288,803645.351789968
289,765309.5654005174
290,619107.3203620089
291,999897.0320908107
292,845319.041188155
293,1460743.6441391187
294,705269.2285019496
295,846672.5225827958
296,879019.8800147513
297,836554.5992723741
298,482909.98479515174
299,534729.3284484884
300,788244.3220325834
301,879747.8986595871
302,830867.3762608236
303,852956.4592088981
304,1106680.9053570763
305,1582519.0022690792
306,958422.0279498441
307,936970.4536934771
308,846772.5127411004
309,879990.0057188768
310,830462.0292769872
311,864009.6418395104
312,834048.0766936763
313,1221643.2693996052
314,668607.7645998633
315,776896.6617880015
316,802906.1693453724
317,1705692.0366945583
318,702109.6174215858
319,841964.301366437
320,1107862.9587356215
321,1800440.5858264465
322,889852.6507257803
323,883821.9435787934
324,1330676.694775444
325,1648734.3173165936
326,1478649.8785387748
327,749285.2539135945
328,849767.1210961376
329,780414.3893555638
330,878275.8405602929
331,859867.0787318115
332,834796.7907093364
333,768941.0280692312
334,537005.2686534205
335,451856.89147120854
336,713922.7514336901
337,924303.2976057464
338,321491.53925930173
339,1001652.2051998248
340,831386.135824498
341,927764.8238737159
342,880231.8238023532
343,122067.12036846136
344,847123.8581895346
345,587776.2255983289
346,529143.5304578082
347,839748.5463095724
348,826659.9599198931
349,672953.0805864981
350,925818.2516249804
351,995988.6071168266
352,925833.9554712949
353,844903.5201439289
354,807494.9542345107
355,846583.2973444203
356,865194.4579151031
357,822395.311142649
358,1007652.8945598721
359,835603.4389161671
360,927553.9964740267
361,1129698.6891575016
362,437311.1858094776
363,932081.1625468443
364,958515.0117296934
365,923206.0550038313
366,827507.033265565
367,825957.5011203601
368,826972.4863451985
369,1481679.8107062206
370,1481364.5643736576
371,741442.1528878842
